customer_id,customer_taxonomies,acquisition_channel,is_loyalty_member,registration_date,province
CUST001,regular,Walk-in,1,2024-02-09,ลพบุรี
CUST002,new,TikTok,1,2025-12-27,ลำปาง
CUST003,high_value,Organic,1,2026-03-31,ระนอง
CUST004,high_value,TikTok,1,2024-12-29,เลย
CUST005,high_value,Walk-in,1,2026-05-19,อุตรดิตถ์
CUST006,regular,Walk-in,1,2025-08-30,กรุงเทพมหานคร
CUST007,regular,FB Ads,0,2024-07-19,สมุทรปราการ
CUST008,new,Organic,0,2024-04-08,เชียงใหม่
CUST009,high_value,TikTok,0,2024-04-15,สกลนคร
CUST010,new,Walk-in,0,2026-05-09,นนทบุรี
CUST011,new,Walk-in,0,2023-11-14,สงขลา
CUST012,new,TikTok,1,2026-01-30,สมุทรสงคราม
CUST013,occasional,FB Ads,0,2023-10-27,สุรินทร์
CUST014,high_value,Walk-in,0,2024-11-23,นครนายก
CUST015,high_value,Organic,0,2024-12-03,ชลบุรี
CUST016,occasional,Walk-in,0,2024-07-03,กรุงเทพ
CUST017,occasional,Organic,1,2024-02-29,กำแพงเพชร
CUST018,high_value,TikTok,1,2026-02-26,จันทบุรี
CUST019,occasional,Organic,1,2024-11-02,สตูล
CUST020,new,TikTok,0,2023-08-23,ฉะเชิงเทรา
CUST021,regular,Organic,0,2024-09-05,ลำปาง
CUST022,new,TikTok,1,2024-12-14,นครสวรรค์
CUST023,high_value,Organic,0,2025-10-31,สกลนคร
CUST024,occasional,FB Ads,0,2025-01-03,เพชรบูรณ์
CUST025,regular,Organic,1,2023-08-23,สกลนคร
CUST026,high_value,Organic,1,2024-04-11,มุกดาหาร
CUST027,occasional,FB Ads,1,2023-07-18,กรุงเทพฯ
CUST028,regular,Walk-in,1,2024-10-05,สกลนคร
CUST029,regular,Walk-in,1,2025-04-26,กำแพงเพชร
CUST030,occasional,Organic,1,2025-02-24,อ่างทอง
CUST031,regular,FB Ads,1,2023-07-17,ชุมพร
CUST032,high_value,Organic,1,2025-07-11,แพร่
CUST033,occasional,TikTok,0,2024-03-30,เชียงราย
CUST034,new,TikTok,1,2023-08-29,สระแก้ว
CUST035,high_value,Organic,0,2025-05-14,เชียงราย
CUST036,high_value,Walk-in,0,2025-11-18,ราชบุรี
CUST037,occasional,Walk-in,0,2025-03-02,ร้อยเอ็ด
CUST038,occasional,Organic,1,2023-08-01,ชลบุรี
CUST039,regular,Organic,1,2023-07-10,อุบลราชธานี
CUST040,high_value,TikTok,0,2025-11-13,นครปฐม
CUST041,regular,Walk-in,0,2025-10-16,มุกดาหาร
CUST042,high_value,Organic,0,2024-10-02,อุทัยธานี
CUST043,high_value,TikTok,1,2025-02-11,ตาก
CUST044,new,Walk-in,1,2025-10-10,พัทลุง
CUST045,high_value,FB Ads,0,2024-07-10,สิงห์บุรี
CUST046,regular,TikTok,0,2025-06-15,กรุงเทพฯ
CUST047,regular,Walk-in,0,2023-08-12,สระแก้ว
CUST048,new,Walk-in,0,2024-04-26,นครพนม
CUST049,regular,TikTok,1,2026-05-14,สุรินทร์
CUST050,occasional,FB Ads,0,2025-04-15,กำแพงเพชร
CUST051,new,TikTok,1,2023-09-18,ตาก
CUST052,regular,Walk-in,1,2024-08-08,อุบลราชธานี
CUST053,regular,Organic,0,2025-02-02,สิงห์บุรี
CUST054,occasional,Organic,0,2024-07-24,ปราจีนบุรี
