date,holiday_name,is_holiday
2023-01-01,New Year's Day,1
2023-01-02,New Year's Day (in lieu),1
2023-01-03,New Year's Eve (in lieu),1
2023-01-04,Regular Day,0
2023-01-05,Regular Day,0
2023-01-06,Regular Day,0
2023-01-07,Weekend,1
2023-01-08,Weekend,1
2023-01-09,Regular Day,0
2023-01-10,Regular Day,0
2023-01-11,Regular Day,0
2023-01-12,Regular Day,0
2023-01-13,Regular Day,0
2023-01-14,National Children's Day,1
2023-01-15,Weekend,1
2023-01-16,Regular Day,0
2023-01-17,Regular Day,0
2023-01-18,Regular Day,0
2023-01-19,Regular Day,0
2023-01-20,Regular Day,0
2023-01-21,Weekend,1
2023-01-22,Weekend,1
2023-01-23,Regular Day,0
2023-01-24,Regular Day,0
2023-01-25,Regular Day,0
2023-01-26,Regular Day,0
2023-01-27,Regular Day,0
2023-01-28,Weekend,1
2023-01-29,Weekend,1
2023-01-30,Regular Day,0
2023-01-31,Regular Day,0
2023-02-01,Regular Day,0
2023-02-02,Regular Day,0
2023-02-03,Regular Day,0
2023-02-04,Weekend,1
2023-02-05,Weekend,1
2023-02-06,Regular Day,0
2023-02-07,Regular Day,0
2023-02-08,Regular Day,0
2023-02-09,Regular Day,0
2023-02-10,Regular Day,0
2023-02-11,Weekend,1
2023-02-12,Weekend,1
2023-02-13,Regular Day,0
2023-02-14,Regular Day,0
2023-02-15,Regular Day,0
2023-02-16,Regular Day,0
2023-02-17,Regular Day,0
2023-02-18,Weekend,1
2023-02-19,Weekend,1
2023-02-20,Regular Day,0
2023-02-21,Regular Day,0
2023-02-22,Regular Day,0
2023-02-23,Regular Day,0
2023-02-24,Regular Day,0
2023-02-25,Weekend,1
2023-02-26,Weekend,1
2023-02-27,Regular Day,0
2023-02-28,Regular Day,0
2023-03-01,Regular Day,0
2023-03-02,Regular Day,0
2023-03-03,Regular Day,0
2023-03-04,Weekend,1
2023-03-05,Weekend,1
2023-03-06,Makha Bucha,1
2023-03-07,Regular Day,0
2023-03-08,Regular Day,0
2023-03-09,Regular Day,0
2023-03-10,Regular Day,0
2023-03-11,Weekend,1
2023-03-12,Weekend,1
2023-03-13,Regular Day,0
2023-03-14,Regular Day,0
2023-03-15,Regular Day,0
2023-03-16,Regular Day,0
2023-03-17,Regular Day,0
2023-03-18,Weekend,1
2023-03-19,Weekend,1
2023-03-20,Regular Day,0
2023-03-21,Regular Day,0
2023-03-22,Regular Day,0
2023-03-23,Regular Day,0
2023-03-24,Regular Day,0
2023-03-25,Weekend,1
2023-03-26,Weekend,1
2023-03-27,Regular Day,0
2023-03-28,Regular Day,0
2023-03-29,Regular Day,0
2023-03-30,Regular Day,0
2023-03-31,Regular Day,0
2023-04-01,Weekend,1
2023-04-02,Weekend,1
2023-04-03,Regular Day,0
2023-04-04,Regular Day,0
2023-04-05,Regular Day,0
2023-04-06,Chakri Memorial Day,1
2023-04-07,Regular Day,0
2023-04-08,Weekend,1
2023-04-09,Weekend,1
2023-04-10,Regular Day,0
2023-04-11,Regular Day,0
2023-04-12,Regular Day,0
2023-04-13,Songkran Festival,1
2023-04-14,Songkran Festival,1
2023-04-15,Songkran Festival,1
2023-04-16,Weekend,1
2023-04-17,Songkran Festival (in lieu),1
2023-04-18,Regular Day,0
2023-04-19,Regular Day,0
2023-04-20,Regular Day,0
2023-04-21,Regular Day,0
2023-04-22,Weekend,1
2023-04-23,Weekend,1
2023-04-24,Regular Day,0
2023-04-25,Regular Day,0
2023-04-26,Regular Day,0
2023-04-27,Regular Day,0
2023-04-28,Regular Day,0
2023-04-29,Weekend,1
2023-04-30,Weekend,1
2023-05-01,National Labor Day,1
2023-05-02,Regular Day,0
2023-05-03,Regular Day,0
2023-05-04,Coronation Day,1
2023-05-05,Bridge Public Holiday,1
2023-05-06,Weekend,1
2023-05-07,Weekend,1
2023-05-08,Regular Day,0
2023-05-09,Regular Day,0
2023-05-10,Regular Day,0
2023-05-11,Regular Day,0
2023-05-12,Regular Day,0
2023-05-13,Weekend,1
2023-05-14,Weekend,1
2023-05-15,Regular Day,0
2023-05-16,Regular Day,0
2023-05-17,Regular Day,0
2023-05-18,Regular Day,0
2023-05-19,Regular Day,0
2023-05-20,Weekend,1
2023-05-21,Weekend,1
2023-05-22,Regular Day,0
2023-05-23,Regular Day,0
2023-05-24,Regular Day,0
2023-05-25,Regular Day,0
2023-05-26,Regular Day,0
2023-05-27,Weekend,1
2023-05-28,Weekend,1
2023-05-29,Regular Day,0
2023-05-30,Regular Day,0
2023-05-31,Regular Day,0
2023-06-01,Regular Day,0
2023-06-02,Regular Day,0
2023-06-03,HM Queen Suthida's Birthday; Visakha Bucha,1
2023-06-04,Weekend,1
2023-06-05,HM Queen Suthida's Birthday (in lieu); Visakha Bucha (in lieu),1
