product_id,elasticity_score
SKU001,-2.25
SKU002,-1.46
SKU003,-0.96
SKU004,-2.07
SKU005,-1.25
SKU006,-2.33
SKU007,-2.4
SKU008,-1.44
SKU009,-1.42
SKU010,-1.23
SKU011,-1.05
SKU012,-0.55
SKU013,-1.47
SKU014,-1.85
SKU015,-0.91
SKU016,-1.96
SKU017,-1.62
SKU018,-2.34
SKU019,-2.45
SKU020,-0.57
SKU021,-0.83
SKU022,-1.11
SKU023,-1.68
SKU024,-2.15
SKU025,-2.19
SKU026,-2.0
SKU027,-1.4
SKU028,-1.07
SKU029,-1.18
SKU030,-1.94
SKU031,-0.59
SKU032,-1.02
SKU033,-1.39
SKU034,-1.28
SKU035,-1.66
SKU036,-2.0
SKU037,-1.79
SKU038,-0.98
SKU039,-2.47
SKU040,-2.27
SKU041,-2.41
SKU042,-2.42
SKU043,-0.79
SKU044,-1.09
SKU045,-1.55
SKU046,-2.3
SKU047,-1.52
SKU048,-1.55
SKU049,-2.15
SKU050,-1.63
SKU051,-1.7
SKU052,-1.27
SKU053,-1.23
SKU054,-2.41
SKU055,-1.75
SKU056,-1.25
SKU057,-1.49
SKU058,-0.79
SKU059,-1.18
SKU060,-2.17
SKU061,-2.36
SKU062,-1.22
SKU063,-2.45
SKU064,-1.33
SKU065,-0.62
SKU066,-1.35
SKU067,-1.72
SKU068,-1.21
SKU069,-1.58
SKU070,-1.41
SKU071,-0.62
SKU072,-1.73
SKU073,-0.58
SKU074,-0.69
SKU075,-2.11
SKU076,-2.36
SKU077,-2.3
SKU078,-2.46
SKU079,-2.31
SKU080,-1.13
