product_id,price,cost,product_taxonomies,unit_of_measure,shelf_life_days
SKU001,218.54,125.14,snacks,pack,180
SKU002,477.82,250.69,beverages,bottle,30
SKU003,379.4,176.87,personal_care,bottle,30
SKU004,319.4,131.82,frozen_food,bottle,30
SKU005,120.21,55.56,frozen_food,kg,14
SKU006,120.2,55.9,dairy,kg,180
SKU007,76.14,41.57,snacks,pack,7
SKU008,439.78,231.99,snacks,pack,90
SKU009,320.5,185.07,bakery,kg,7
SKU010,368.63,182.27,beverages,bottle,180
SKU011,59.26,25.12,beverages,pack,90
SKU012,486.46,263.98,snacks,kg,180
SKU013,424.6,234.45,frozen_food,kg,30
SKU014,145.55,74.56,frozen_food,kg,90
SKU015,131.82,73.05,beverages,bottle,30
SKU016,132.53,66.1,frozen_food,kg,7
SKU017,186.91,94.3,bakery,kg,7
SKU018,286.14,138.92,frozen_food,kg,90
SKU019,244.38,98.99,condiments,kg,90
SKU020,181.05,76.33,personal_care,pack,180
SKU021,325.33,132.18,beverages,pack,180
SKU022,112.77,59.46,dairy,kg,30
SKU023,181.47,84.0,bakery,bottle,90
SKU024,214.86,107.8,household,pack,7
SKU025,255.23,148.42,personal_care,kg,180
SKU026,403.33,181.44,dairy,pack,180
SKU027,139.85,67.42,frozen_food,pack,7
SKU028,281.41,155.09,household,bottle,180
SKU029,316.59,141.12,snacks,kg,30
SKU030,70.9,29.45,snacks,kg,90
SKU031,323.4,148.1,bakery,bottle,7
SKU032,126.74,54.78,snacks,bottle,90
SKU033,79.27,46.45,household,kg,180
SKU034,477.0,267.89,household,kg,180
SKU035,484.53,255.19,personal_care,bottle,7
SKU036,413.78,237.63,beverages,pack,30
SKU037,187.08,104.9,condiments,pack,14
SKU038,93.95,41.09,snacks,bottle,7
SKU039,357.9,207.05,bakery,pack,14
SKU040,248.07,125.99,snacks,bottle,14
SKU041,104.92,58.91,personal_care,pack,30
SKU042,272.83,158.03,household,pack,14
SKU043,65.47,30.35,frozen_food,kg,14
SKU044,459.19,193.78,snacks,kg,30
SKU045,166.45,74.17,beverages,pack,14
SKU046,348.14,168.99,frozen_food,pack,14
SKU047,190.27,107.24,personal_care,kg,14
SKU048,284.03,162.51,snacks,kg,7
SKU049,296.02,118.82,frozen_food,kg,7
SKU050,133.18,66.88,snacks,bottle,7
SKU051,486.31,235.12,bakery,pack,30
SKU052,398.81,177.24,personal_care,kg,180
SKU053,472.77,200.44,condiments,pack,14
SKU054,452.67,211.63,household,bottle,14
SKU055,319.05,187.79,dairy,bottle,30
SKU056,464.84,215.98,household,kg,14
SKU057,89.82,45.25,household,bottle,7
SKU058,138.19,74.71,frozen_food,pack,180
SKU059,70.35,33.26,personal_care,kg,90
SKU060,196.4,116.73,snacks,pack,14
SKU061,224.9,133.25,dairy,pack,7
SKU062,172.11,77.51,frozen_food,bottle,90
SKU063,422.93,211.23,dairy,bottle,180
SKU064,210.54,96.89,condiments,bottle,90
SKU065,176.42,80.62,bakery,bottle,7
SKU066,294.21,119.85,personal_care,bottle,90
SKU067,113.42,59.2,frozen_food,kg,30
SKU068,410.99,205.72,household,pack,90
SKU069,83.55,34.28,beverages,pack,14
SKU070,494.1,225.18,frozen_food,pack,14
SKU071,397.51,231.21,beverages,pack,30
SKU072,139.42,62.45,household,bottle,7
SKU073,52.48,22.51,bakery,pack,14
SKU074,416.96,207.6,personal_care,kg,180
SKU075,368.09,219.8,snacks,kg,14
SKU076,378.05,169.52,frozen_food,pack,14
SKU077,397.07,212.2,household,pack,7
SKU078,83.32,46.02,frozen_food,kg,90
SKU079,211.31,94.57,condiments,kg,14
SKU080,102.14,55.73,bakery,bottle,30
