promotion_id,promotion_name,discount_pct,product_id,start_date,end_date,channel_cost
PROMO001,Campaign_โผล่,0.05,SKU031,2024-06-13,2024-06-24,10000
PROMO002,Campaign_คะแนน,0.3,SKU061,2024-05-15,2024-05-27,10000
PROMO003,Campaign_ความ,0.05,SKU038,2024-04-03,2024-04-08,2500
PROMO004,Campaign_แข่งขัน,0.15,SKU075,2024-02-19,2024-03-02,5000
PROMO005,Campaign_หาบ,0.2,SKU071,2024-04-29,2024-05-15,5000
PROMO006,Campaign_ติด,0.15,SKU040,2023-12-27,2024-01-15,5000
PROMO007,Campaign_ห่มผ้า,0.3,SKU025,2023-08-25,2023-09-02,5000
PROMO008,Campaign_ตรวจ,0.1,SKU028,2023-05-03,2023-05-13,10000
PROMO009,Campaign_แต่,0.05,SKU025,2023-10-11,2023-10-25,5000
PROMO010,Campaign_อิสลาม,0.1,SKU039,2023-08-21,2023-09-06,1000
PROMO011,Campaign_คำสั่ง,0.15,SKU006,2024-12-26,2025-01-04,1000
PROMO012,Campaign_กลางคืน,0.3,SKU017,2024-07-20,2024-08-03,10000
PROMO013,Campaign_ชาว,0.25,SKU037,2023-04-16,2023-04-21,10000
PROMO014,Campaign_แม่,0.15,SKU024,2024-05-05,2024-05-24,1000
PROMO015,Campaign_เพียง,0.05,SKU009,2023-09-16,2023-10-06,10000
PROMO016,Campaign_เสรีนิยม,0.25,SKU007,2024-05-18,2024-05-25,2500
PROMO017,Campaign_ศาสตร์,0.05,SKU032,2023-06-02,2023-06-16,1000
PROMO018,Campaign_ซ่อน,0.25,SKU077,2024-07-25,2024-08-12,2500
PROMO019,Campaign_เมาะ,0.2,SKU057,2024-06-19,2024-07-06,5000
PROMO020,Campaign_หลง,0.15,SKU073,2024-08-25,2024-09-12,1000
PROMO021,Campaign_ซ่อน,0.1,SKU028,2024-09-16,2024-09-24,5000
PROMO022,Campaign_ล่อ,0.1,SKU031,2024-11-07,2024-11-14,2500
PROMO023,Campaign_แถบ,0.1,SKU001,2024-07-19,2024-07-26,10000
PROMO024,Campaign_เนื่องจาก,0.15,SKU005,2024-04-06,2024-04-26,2500
PROMO025,Campaign_สาธารณรัฐ,0.3,SKU059,2023-10-23,2023-11-06,1000
PROMO026,Campaign_กิ่งไม้,0.15,SKU076,2024-12-04,2024-12-16,2500
PROMO027,Campaign_เอิด,0.25,SKU029,2024-03-11,2024-03-19,2500
PROMO028,Campaign_ราก,0.05,SKU008,2023-09-30,2023-10-09,2500
PROMO029,Campaign_มลายู,0.2,SKU016,2023-11-11,2023-11-25,10000
PROMO030,Campaign_เสรีนิยม,0.3,SKU052,2024-12-06,2024-12-20,5000
