po_id,supplier_id,order_date,delivery_date,product_id,qty,status,cost
SPO00001,SUP_BANGKOK_DIST,2024-08-04,2024-06-10,SKU016,100,DELIVERED,66.1
SPO00002,SUP_GLOBAL_IMPORT,2023-02-23,2024-05-10,SKU050,100,DELIVERED,66.88
SPO00003,SUP_GLOBAL_IMPORT,2023-04-27,2023-05-16,SKU011,500,DELIVERED,25.12
SPO00004,SUP_GLOBAL_IMPORT,2023-07-12,2024-07-03,SKU072,500,DELIVERED,62.45
SPO00005,SUP_LOCAL_SME,2023-05-30,2023-08-15,SKU048,1000,DELIVERED,162.51
SPO00006,SUP_BANGKOK_DIST,2023-09-25,2023-09-04,SKU034,100,DELIVERED,267.89
SPO00007,SUP_GLOBAL_IMPORT,2024-09-28,2024-07-17,SKU021,1000,DELIVERED,132.18
SPO00008,SUP_BANGKOK_DIST,2024-01-14,2024-11-18,SKU063,100,DELIVERED,211.23
SPO00009,SUP_LOCAL_SME,2023-04-06,2024-01-04,SKU017,500,PENDING,94.3
SPO00010,SUP_LOCAL_SME,2024-07-31,2023-04-07,SKU034,200,DELIVERED,267.89
SPO00011,SUP_GLOBAL_IMPORT,2023-08-09,2024-11-06,SKU051,200,DELIVERED,235.12
SPO00012,SUP_GLOBAL_IMPORT,2024-01-19,2024-10-20,SKU067,1000,DELIVERED,59.2
SPO00013,SUP_GLOBAL_IMPORT,2023-02-21,2024-04-20,SKU024,500,DELIVERED,107.8
SPO00014,SUP_LOCAL_SME,2024-10-30,2023-07-02,SKU022,100,CANCELLED,59.46
SPO00015,SUP_LOCAL_SME,2023-01-01,2023-06-15,SKU010,1000,DELIVERED,182.27
SPO00016,SUP_GLOBAL_IMPORT,2023-03-21,2024-03-16,SKU005,1000,DELIVERED,55.56
SPO00017,SUP_LOCAL_SME,2023-04-21,2024-03-26,SKU031,100,DELIVERED,148.1
SPO00018,SUP_LOCAL_SME,2023-12-06,2024-06-18,SKU024,1000,DELIVERED,107.8
SPO00019,SUP_GLOBAL_IMPORT,2023-10-26,2024-06-13,SKU011,100,DELIVERED,25.12
SPO00020,SUP_LOCAL_SME,2024-02-05,2024-08-13,SKU051,500,PENDING,235.12
SPO00021,SUP_LOCAL_SME,2023-04-23,2024-12-08,SKU048,500,DELIVERED,162.51
SPO00022,SUP_BANGKOK_DIST,2024-05-01,2024-04-10,SKU078,200,DELIVERED,46.02
SPO00023,SUP_BANGKOK_DIST,2023-12-20,2024-02-13,SKU004,500,PENDING,131.82
SPO00024,SUP_BANGKOK_DIST,2024-06-27,2024-02-13,SKU008,100,DELIVERED,231.99
SPO00025,SUP_LOCAL_SME,2024-12-08,2023-06-26,SKU007,500,DELIVERED,41.57
SPO00026,SUP_LOCAL_SME,2024-12-26,2024-07-24,SKU032,500,DELIVERED,54.78
SPO00027,SUP_BANGKOK_DIST,2024-10-19,2024-09-15,SKU022,100,CANCELLED,59.46
SPO00028,SUP_BANGKOK_DIST,2023-03-03,2024-07-10,SKU036,100,DELIVERED,237.63
SPO00029,SUP_BANGKOK_DIST,2024-07-07,2023-01-06,SKU029,500,DELIVERED,141.12
SPO00030,SUP_GLOBAL_IMPORT,2023-02-19,2023-11-01,SKU068,1000,PENDING,205.72
SPO00031,SUP_BANGKOK_DIST,2023-08-10,2024-08-23,SKU061,500,DELIVERED,133.25
SPO00032,SUP_BANGKOK_DIST,2024-06-20,2023-11-28,SKU053,100,DELIVERED,200.44
SPO00033,SUP_BANGKOK_DIST,2024-06-05,2024-07-04,SKU072,100,DELIVERED,62.45
SPO00034,SUP_GLOBAL_IMPORT,2024-08-13,2023-05-23,SKU015,1000,DELIVERED,73.05
SPO00035,SUP_GLOBAL_IMPORT,2024-10-16,2023-12-22,SKU048,1000,DELIVERED,162.51
SPO00036,SUP_LOCAL_SME,2023-02-06,2024-05-08,SKU054,500,DELIVERED,211.63
SPO00037,SUP_BANGKOK_DIST,2023-10-20,2024-04-24,SKU068,500,DELIVERED,205.72
SPO00038,SUP_BANGKOK_DIST,2023-09-19,2024-03-24,SKU069,200,DELIVERED,34.28
SPO00039,SUP_LOCAL_SME,2024-10-15,2024-09-14,SKU064,100,DELIVERED,96.89
SPO00040,SUP_BANGKOK_DIST,2023-03-11,2024-01-29,SKU066,500,DELIVERED,119.85
SPO00041,SUP_LOCAL_SME,2023-03-04,2023-02-01,SKU050,100,DELIVERED,66.88
SPO00042,SUP_BANGKOK_DIST,2023-10-16,2023-07-18,SKU072,100,DELIVERED,62.45
SPO00043,SUP_BANGKOK_DIST,2023-03-04,2024-01-21,SKU047,100,DELIVERED,107.24
SPO00044,SUP_BANGKOK_DIST,2023-10-06,2024-06-30,SKU068,1000,DELIVERED,205.72
SPO00045,SUP_LOCAL_SME,2023-09-05,2023-11-23,SKU013,100,DELIVERED,234.45
SPO00046,SUP_LOCAL_SME,2023-03-07,2023-03-23,SKU014,500,DELIVERED,74.56
SPO00047,SUP_LOCAL_SME,2023-12-23,2023-10-27,SKU009,200,DELIVERED,185.07
SPO00048,SUP_LOCAL_SME,2024-02-20,2024-03-29,SKU028,1000,DELIVERED,155.09
SPO00049,SUP_LOCAL_SME,2024-01-30,2024-02-05,SKU038,200,DELIVERED,41.09
SPO00050,SUP_GLOBAL_IMPORT,2024-06-05,2024-05-15,SKU012,500,DELIVERED,263.98
SPO00051,SUP_LOCAL_SME,2023-12-15,2024-08-22,SKU013,1000,PENDING,234.45
SPO00052,SUP_BANGKOK_DIST,2023-03-19,2024-08-10,SKU021,200,DELIVERED,132.18
SPO00053,SUP_GLOBAL_IMPORT,2024-12-04,2023-05-29,SKU055,1000,DELIVERED,187.79
SPO00054,SUP_GLOBAL_IMPORT,2023-08-07,2024-01-01,SKU038,100,DELIVERED,41.09
SPO00055,SUP_GLOBAL_IMPORT,2023-12-05,2023-12-28,SKU052,500,DELIVERED,177.24
SPO00056,SUP_GLOBAL_IMPORT,2023-07-15,2024-07-07,SKU026,500,DELIVERED,181.44
SPO00057,SUP_LOCAL_SME,2024-06-18,2024-03-29,SKU022,500,DELIVERED,59.46
SPO00058,SUP_BANGKOK_DIST,2024-10-11,2024-10-27,SKU051,100,DELIVERED,235.12
SPO00059,SUP_LOCAL_SME,2024-11-01,2023-11-18,SKU072,100,DELIVERED,62.45
SPO00060,SUP_LOCAL_SME,2023-04-16,2024-03-16,SKU037,100,DELIVERED,104.9
SPO00061,SUP_GLOBAL_IMPORT,2023-10-09,2023-03-06,SKU045,500,CANCELLED,74.17
SPO00062,SUP_LOCAL_SME,2024-06-11,2024-01-07,SKU077,100,DELIVERED,212.2
SPO00063,SUP_GLOBAL_IMPORT,2024-10-23,2023-01-12,SKU037,500,DELIVERED,104.9
SPO00064,SUP_LOCAL_SME,2023-08-11,2024-09-12,SKU014,1000,PENDING,74.56
SPO00065,SUP_GLOBAL_IMPORT,2024-05-03,2023-09-30,SKU018,1000,DELIVERED,138.92
SPO00066,SUP_GLOBAL_IMPORT,2023-11-14,2024-09-07,SKU007,100,DELIVERED,41.57
SPO00067,SUP_GLOBAL_IMPORT,2024-04-14,2024-10-18,SKU074,100,DELIVERED,207.6
SPO00068,SUP_GLOBAL_IMPORT,2023-11-24,2024-06-24,SKU060,100,DELIVERED,116.73
SPO00069,SUP_LOCAL_SME,2023-12-27,2024-08-02,SKU058,1000,DELIVERED,74.71
SPO00070,SUP_LOCAL_SME,2024-06-01,2023-12-31,SKU055,100,PENDING,187.79
SPO00071,SUP_BANGKOK_DIST,2023-02-21,2024-04-21,SKU034,1000,DELIVERED,267.89
SPO00072,SUP_BANGKOK_DIST,2023-07-21,2024-10-06,SKU045,200,DELIVERED,74.17
SPO00073,SUP_GLOBAL_IMPORT,2023-02-13,2024-10-21,SKU003,100,DELIVERED,176.87
SPO00074,SUP_BANGKOK_DIST,2024-10-01,2023-05-31,SKU040,200,DELIVERED,125.99
SPO00075,SUP_BANGKOK_DIST,2024-10-16,2023-07-22,SKU076,500,DELIVERED,169.52
SPO00076,SUP_GLOBAL_IMPORT,2023-01-13,2023-05-09,SKU053,500,DELIVERED,200.44
SPO00077,SUP_GLOBAL_IMPORT,2023-04-16,2023-06-07,SKU031,1000,PENDING,148.1
SPO00078,SUP_GLOBAL_IMPORT,2024-02-17,2024-10-12,SKU023,1000,DELIVERED,84.0
SPO00079,SUP_BANGKOK_DIST,2024-06-12,2023-03-14,SKU072,1000,DELIVERED,62.45
SPO00080,SUP_GLOBAL_IMPORT,2023-11-22,2024-06-08,SKU065,200,PENDING,80.62
SPO00081,SUP_BANGKOK_DIST,2024-01-26,2024-10-04,SKU055,500,DELIVERED,187.79
SPO00082,SUP_GLOBAL_IMPORT,2023-10-16,2024-05-24,SKU079,1000,DELIVERED,94.57
SPO00083,SUP_GLOBAL_IMPORT,2024-04-03,2023-07-01,SKU012,1000,DELIVERED,263.98
SPO00084,SUP_LOCAL_SME,2023-04-23,2023-01-29,SKU001,100,DELIVERED,125.14
SPO00085,SUP_LOCAL_SME,2024-05-13,2024-11-15,SKU011,200,DELIVERED,25.12
SPO00086,SUP_GLOBAL_IMPORT,2024-04-06,2024-09-11,SKU051,200,DELIVERED,235.12
SPO00087,SUP_LOCAL_SME,2024-07-16,2023-06-05,SKU066,500,DELIVERED,119.85
SPO00088,SUP_LOCAL_SME,2023-09-26,2023-06-18,SKU045,500,DELIVERED,74.17
SPO00089,SUP_LOCAL_SME,2023-02-06,2023-07-18,SKU072,1000,DELIVERED,62.45
SPO00090,SUP_LOCAL_SME,2023-04-04,2024-09-14,SKU031,200,DELIVERED,148.1
SPO00091,SUP_BANGKOK_DIST,2024-09-14,2023-05-09,SKU053,500,DELIVERED,200.44
SPO00092,SUP_LOCAL_SME,2023-02-08,2024-07-30,SKU045,200,DELIVERED,74.17
SPO00093,SUP_GLOBAL_IMPORT,2023-06-08,2024-02-01,SKU067,1000,PENDING,59.2
SPO00094,SUP_LOCAL_SME,2024-04-18,2023-02-14,SKU041,1000,DELIVERED,58.91
