po_id,datetime,product_id,qty,customer_id,promotion_id,store_id,price
PO000001,2024-05-27 16:31:00,SKU065,1,CUST484,NO_PROMO,STORE001,176.42
PO000002,2024-03-24 09:38:00,SKU043,3,CUST389,NO_PROMO,STORE003,65.47
PO000003,2023-02-10 14:47:00,SKU039,1,CUST185,NO_PROMO,STORE001,357.9
PO000004,2023-11-27 17:16:00,SKU059,1,CUST112,NO_PROMO,STORE010,70.35
PO000005,2023-01-27 09:14:00,SKU044,1,CUST399,NO_PROMO,STORE005,459.19
PO000006,2024-11-21 21:55:00,SKU009,1,CUST347,NO_PROMO,STORE001,320.5
PO000007,2024-08-12 17:01:00,SKU037,1,CUST272,NO_PROMO,STORE009,187.08
PO000008,2024-11-19 21:17:00,SKU074,3,CUST313,NO_PROMO,STORE007,416.96
PO000009,2024-08-13 08:48:00,SKU036,1,CUST484,PROMO024,STORE008,413.78
PO000010,2023-06-29 15:33:00,SKU028,1,CUST102,PROMO010,STORE009,281.41
PO000011,2024-10-29 15:58:00,SKU042,3,CUST210,NO_PROMO,STORE010,272.83
PO000012,2023-10-12 10:37:00,SKU043,1,CUST227,PROMO010,STORE008,65.47
PO000013,2024-03-22 18:52:00,SKU042,4,CUST281,NO_PROMO,STORE003,272.83
PO000014,2024-05-18 09:30:00,SKU066,5,CUST022,NO_PROMO,STORE007,294.21
PO000015,2023-12-23 14:21:00,SKU055,1,CUST248,NO_PROMO,STORE007,319.05
PO000016,2023-11-25 18:06:00,SKU072,1,CUST159,NO_PROMO,STORE007,139.42
PO000017,2023-06-14 13:26:00,SKU048,1,CUST379,PROMO023,STORE008,284.03
PO000018,2024-12-11 15:18:00,SKU022,3,CUST229,NO_PROMO,STORE004,112.77
PO000019,2024-11-09 14:52:00,SKU027,2,CUST418,PROMO014,STORE006,139.85
PO000020,2024-07-17 08:29:00,SKU067,2,CUST343,NO_PROMO,STORE002,113.42
PO000021,2023-04-01 13:16:00,SKU013,3,CUST400,NO_PROMO,STORE007,424.6
PO000022,2023-11-28 09:49:00,SKU045,1,CUST454,NO_PROMO,STORE009,166.45
PO000023,2024-02-18 21:32:00,SKU010,3,CUST187,PROMO025,STORE005,368.63
