movement_id,datetime,product_id,warehouse_id,store_id,movement_type,qty
MV000001,2023-03-27 18:00:00,SKU027,WH001,STORE008,RETURNS,17
MV000002,2023-03-12 17:00:00,SKU070,WH002,STORE003,TRANSFER_STORE,89
MV000003,2023-07-25 09:00:00,SKU060,WH002,STORE010,INBOUND,45
MV000004,2024-10-21 14:00:00,SKU044,WH001,STORE010,TRANSFER_STORE,49
MV000005,2024-09-07 08:00:00,SKU030,WH003,STORE010,TRANSFER_STORE,48
MV000006,2024-03-13 06:00:00,SKU058,WH001,STORE008,INBOUND,93
MV000007,2024-06-09 13:00:00,SKU036,WH001,STORE003,TRANSFER_STORE,56
MV000008,2024-06-02 14:00:00,SKU005,WH002,STORE002,TRANSFER_STORE,69
MV000009,2023-06-29 18:00:00,SKU019,WH002,STORE009,TRANSFER_STORE,17
MV000010,2024-07-24 07:00:00,SKU012,WH002,STORE001,TRANSFER_STORE,83
MV000011,2023-12-28 18:00:00,SKU060,WH001,STORE010,TRANSFER_STORE,46
MV000012,2023-06-28 13:00:00,SKU011,WH002,STORE010,TRANSFER_STORE,72
MV000013,2024-07-10 13:00:00,SKU053,WH002,STORE002,TRANSFER_STORE,36
MV000014,2023-07-21 06:00:00,SKU020,WH002,STORE007,TRANSFER_STORE,12
MV000015,2023-10-20 14:00:00,SKU073,WH003,STORE001,TRANSFER_STORE,48
MV000016,2024-03-21 08:00:00,SKU027,WH003,STORE005,TRANSFER_STORE,15
MV000017,2023-11-20 16:00:00,SKU058,WH001,STORE009,RETURNS,90
MV000018,2023-03-06 11:00:00,SKU005,WH002,STORE009,TRANSFER_STORE,19
MV000019,2023-07-05 07:00:00,SKU074,WH001,STORE004,TRANSFER_STORE,94
MV000020,2024-03-31 17:00:00,SKU009,WH001,STORE010,TRANSFER_STORE,38
MV000021,2023-11-10 12:00:00,SKU077,WH002,STORE002,TRANSFER_STORE,38
MV000022,2023-12-01 16:00:00,SKU032,WH001,STORE009,TRANSFER_STORE,29
MV000023,2023-08-06 11:00:00,SKU072,WH002,STORE004,TRANSFER_STORE,88
MV000024,2023-08-20 13:00:00,SKU054,WH002,STORE003,TRANSFER_STORE,75
MV000025,2024-06-08 06:00:00,SKU045,WH003,STORE003,TRANSFER_STORE,21
MV000026,2023-04-14 14:00:00,SKU027,WH001,STORE007,INBOUND,22
MV000027,2024-08-01 07:00:00,SKU028,WH001,STORE002,TRANSFER_STORE,48
MV000028,2023-12-31 12:00:00,SKU018,WH002,STORE005,INBOUND,48
MV000029,2024-12-03 13:00:00,SKU031,WH003,STORE002,TRANSFER_STORE,54
MV000030,2023-07-12 10:00:00,SKU041,WH003,STORE007,TRANSFER_STORE,94
MV000031,2023-10-13 12:00:00,SKU034,WH001,STORE007,TRANSFER_STORE,50
MV000032,2024-05-23 07:00:00,SKU007,WH003,STORE003,INBOUND,89
MV000033,2024-05-05 13:00:00,SKU005,WH001,STORE003,TRANSFER_STORE,52
MV000034,2024-01-23 08:00:00,SKU021,WH001,STORE008,INBOUND,71
MV000035,2024-08-29 18:00:00,SKU006,WH003,STORE007,TRANSFER_STORE,12
MV000036,2024-02-12 15:00:00,SKU045,WH002,STORE004,TRANSFER_STORE,18
MV000037,2023-03-08 10:00:00,SKU035,WH001,STORE002,TRANSFER_STORE,53
MV000038,2023-08-18 09:00:00,SKU003,WH001,STORE003,INBOUND,43
MV000039,2024-02-10 08:00:00,SKU033,WH001,STORE003,INBOUND,28
MV000040,2024-08-24 15:00:00,SKU038,WH001,STORE005,RETURNS,99
MV000041,2024-08-12 10:00:00,SKU080,WH003,STORE007,INBOUND,96
MV000042,2024-01-21 16:00:00,SKU016,WH003,STORE004,TRANSFER_STORE,27
MV000043,2024-03-16 10:00:00,SKU071,WH003,STORE001,TRANSFER_STORE,55
MV000044,2023-12-16 06:00:00,SKU008,WH003,STORE003,TRANSFER_STORE,50
MV000045,2024-09-16 15:00:00,SKU003,WH001,STORE003,TRANSFER_STORE,58
MV000046,2024-08-11 15:00:00,SKU069,WH002,STORE001,INBOUND,61
MV000047,2023-01-30 17:00:00,SKU019,WH002,STORE008,RETURNS,83
MV000048,2023-02-07 07:00:00,SKU007,WH003,STORE004,TRANSFER_STORE,52
