waste_id,datetime,product_id,warehouse_id,qty,reason
WST00001,2024-08-18 17:25:00,SKU039,WH002,5,Expired Shelf Life
WST00002,2024-06-25 11:45:00,SKU008,WH003,4,Damaged Packaging
WST00003,2024-03-07 12:01:00,SKU075,WH002,6,Expired Shelf Life
WST00004,2023-04-04 08:27:00,SKU043,WH003,2,Expired Shelf Life
WST00005,2024-04-28 09:43:00,SKU041,WH002,8,Expired Shelf Life
WST00006,2023-09-11 19:18:00,SKU076,WH001,6,Expired Shelf Life
WST00007,2024-01-03 15:54:00,SKU069,WH003,3,Expired Shelf Life
WST00008,2024-12-12 14:18:00,SKU030,WH002,4,Expired Shelf Life
WST00009,2024-11-05 21:22:00,SKU059,WH002,2,Damaged Packaging
WST00010,2023-02-16 16:11:00,SKU023,WH003,4,Expired Shelf Life
WST00011,2024-04-13 20:27:00,SKU057,WH003,9,Expired Shelf Life
WST00012,2024-10-11 09:04:00,SKU025,WH003,4,Expired Shelf Life
WST00013,2024-04-26 21:24:00,SKU048,WH003,8,Expired Shelf Life
WST00014,2024-01-26 18:57:00,SKU070,WH003,3,Damaged Packaging
WST00015,2023-11-27 19:07:00,SKU042,WH003,5,Damaged Packaging
WST00016,2024-05-30 08:51:00,SKU029,WH003,2,Expired Shelf Life
WST00017,2023-04-08 09:00:00,SKU071,WH001,9,Expired Shelf Life
WST00018,2023-01-02 12:03:00,SKU045,WH002,9,Expired Shelf Life
WST00019,2023-12-11 21:58:00,SKU041,WH001,7,Damaged Packaging
WST00020,2024-08-04 18:51:00,SKU073,WH003,2,Damaged Packaging
WST00021,2023-06-19 09:48:00,SKU063,WH001,4,Expired Shelf Life
WST00022,2024-07-14 21:46:00,SKU047,WH003,6,Expired Shelf Life
WST00023,2023-01-05 13:24:00,SKU001,WH002,9,Expired Shelf Life
WST00024,2023-05-04 08:12:00,SKU020,WH002,6,Damaged Packaging
WST00025,2024-10-28 17:08:00,SKU019,WH002,4,Expired Shelf Life
WST00026,2024-06-30 08:16:00,SKU065,WH001,1,Damaged Packaging
WST00027,2024-01-26 16:20:00,SKU074,WH002,7,Expired Shelf Life
WST00028,2024-09-26 16:20:00,SKU036,WH003,7,Damaged Packaging
WST00029,2024-05-07 20:06:00,SKU023,WH002,6,Damaged Packaging
WST00030,2023-12-30 16:44:00,SKU029,WH001,3,Damaged Packaging
WST00031,2023-07-24 11:21:00,SKU044,WH002,5,Damaged Packaging
WST00032,2024-01-25 17:05:00,SKU007,WH002,7,Expired Shelf Life
WST00033,2023-11-10 13:39:00,SKU031,WH001,6,Damaged Packaging
WST00034,2023-11-17 14:02:00,SKU038,WH001,7,Expired Shelf Life
WST00035,2024-08-18 16:49:00,SKU066,WH001,5,Expired Shelf Life
WST00036,2024-05-01 15:30:00,SKU079,WH003,1,Expired Shelf Life
WST00037,2024-04-22 14:26:00,SKU022,WH002,5,Damaged Packaging
WST00038,2024-10-28 21:15:00,SKU075,WH003,2,Damaged Packaging
WST00039,2024-01-02 10:36:00,SKU054,WH003,2,Expired Shelf Life
WST00040,2024-07-25 20:43:00,SKU054,WH001,4,Expired Shelf Life
WST00041,2023-04-10 08:16:00,SKU006,WH003,6,Damaged Packaging
WST00042,2024-12-14 17:17:00,SKU073,WH002,5,Damaged Packaging
WST00043,2024-12-16 12:30:00,SKU062,WH001,7,Damaged Packaging
WST00044,2024-05-25 16:29:00,SKU029,WH003,8,Expired Shelf Life
WST00045,2024-02-05 11:43:00,SKU043,WH002,1,Expired Shelf Life
WST00046,2023-10-29 14:28:00,SKU067,WH002,8,Water Damage / Cold Loss
WST00047,2023-10-12 11:01:00,SKU062,WH002,3,Damaged Packaging
WST00048,2024-04-10 08:02:00,SKU013,WH003,2,Expired Shelf Life
WST00049,2024-11-27 12:28:00,SKU064,WH001,2,Expired Shelf Life
WST00050,2024-04-29 10:25:00,SKU047,WH001,5,Damaged Packaging
WST00051,2024-05-15 09:44:00,SKU060,WH002,2,Damaged Packaging
WST00052,2024-10-04 08:15:00,SKU015,WH001,4,Expired Shelf Life
WST00053,2023-03-06 12:41:00,SKU005,WH001,3,Expired Shelf Life
WST00054,2024-01-17 09:17:00,SKU069,WH001,8,Expired Shelf Life
WST00055,2023-07-22 10:26:00,SKU002,WH001,9,Expired Shelf Life
WST00056,2024-04-16 09:22:00,SKU038,WH003,6,Expired Shelf Life
WST00057,2024-12-08 08:54:00,SKU054,WH001,4,Damaged Packaging
WST00058,2023-06-17 15:22:00,SKU039,WH001,2,Expired Shelf Life
WST00059,2024-03-08 17:20:00,SKU020,WH003,8,Expired Shelf Life
WST00060,2024-08-08 18:50:00,SKU020,WH001,3,Expired Shelf Life
WST00061,2023-02-28 20:40:00,SKU029,WH001,2,Damaged Packaging
WST00062,2023-05-06 20:51:00,SKU035,WH001,4,Expired Shelf Life
