date,temperature_celsius,rainfall_mm,weather_condition
2023-01-01,33.3,1.7,Normal
2023-01-02,34.5,0.0,Normal
2023-01-03,28.7,6.4,Rainy
2023-01-04,34.2,8.1,Rainy
2023-01-05,34.9,4.8,Rainy
2023-01-06,34.5,0.0,Normal
2023-01-07,35.5,0.0,Normal
2023-01-08,37.3,0.1,Extreme Hot
2023-01-09,36.6,0.0,Extreme Hot
2023-01-10,29.7,0.7,Normal
2023-01-11,36.5,2.8,Extreme Hot
2023-01-12,25.1,0.0,Normal
2023-01-13,33.6,4.0,Rainy
2023-01-14,28.6,0.0,Normal
2023-01-15,32.6,0.5,Normal
2023-01-16,35.7,0.0,Normal
2023-01-17,38.5,0.0,Extreme Hot
2023-01-18,33.9,0.4,Normal
2023-01-19,38.1,0.0,Extreme Hot
2023-01-20,25.9,0.0,Normal
2023-01-21,34.9,0.0,Normal
2023-01-22,33.2,0.0,Normal
2023-01-23,33.7,0.0,Normal
2023-01-24,37.2,13.9,Rainy
2023-01-25,35.5,0.0,Normal
2023-01-26,35.6,0.0,Normal
2023-01-27,25.3,0.0,Normal
2023-01-28,31.8,4.6,Rainy
2023-01-29,31.2,0.0,Normal
2023-01-30,39.0,0.0,Extreme Hot
2023-01-31,31.3,0.0,Normal
2023-02-01,36.1,0.0,Extreme Hot
2023-02-02,28.1,0.0,Normal
2023-02-03,34.5,0.0,Normal
2023-02-04,28.8,0.7,Normal
2023-02-05,31.1,2.2,Normal
2023-02-06,33.9,0.0,Normal
2023-02-07,28.8,2.1,Normal
2023-02-08,37.5,0.0,Extreme Hot
2023-02-09,28.0,0.0,Normal
2023-02-10,34.1,0.0,Normal
2023-02-11,37.1,0.0,Extreme Hot
2023-02-12,38.6,0.0,Extreme Hot
2023-02-13,37.2,5.9,Rainy
2023-02-14,36.8,3.9,Rainy
2023-02-15,26.8,0.0,Normal
2023-02-16,37.9,0.0,Extreme Hot
2023-02-17,36.2,0.0,Extreme Hot
2023-02-18,26.6,0.0,Normal
2023-02-19,34.6,0.0,Normal
2023-02-20,27.8,0.0,Normal
2023-02-21,25.9,0.0,Normal
2023-02-22,28.8,1.5,Normal
2023-02-23,31.4,0.0,Normal
2023-02-24,26.0,0.0,Normal
2023-02-25,31.7,0.0,Normal
2023-02-26,29.1,0.0,Normal
2023-02-27,37.0,0.2,Extreme Hot
2023-02-28,31.7,0.0,Normal
2023-03-01,28.4,0.6,Normal
2023-03-02,32.0,0.0,Normal
2023-03-03,34.8,0.0,Normal
2023-03-04,25.1,0.0,Normal
2023-03-05,32.2,0.0,Normal
2023-03-06,29.9,0.0,Normal
2023-03-07,26.1,0.0,Normal
2023-03-08,26.9,0.0,Normal
2023-03-09,34.7,0.9,Normal
2023-03-10,27.3,0.0,Normal
2023-03-11,33.9,0.1,Normal
2023-03-12,38.1,0.0,Extreme Hot
2023-03-13,32.6,8.2,Rainy
2023-03-14,35.0,1.7,Normal
2023-03-15,36.4,0.0,Extreme Hot
2023-03-16,37.5,0.0,Extreme Hot
2023-03-17,36.4,0.0,Extreme Hot
2023-03-18,34.0,0.0,Normal
2023-03-19,35.2,0.0,Normal
2023-03-20,25.8,0.0,Normal
2023-03-21,27.2,1.0,Normal
2023-03-22,38.7,0.0,Extreme Hot
